License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2020,122,all_deer,R,0,0,0,564,483,80,0,25,539,227,257
2020,122,all_deer,SUM,0,0,0,616,527,89,0,28,588,236,292
2020,122,md,N,0,0,0,6,6,0,0,0,6,0,6
2020,122,md,R,0,0,0,111,109,2,0,3,107,71,37
2020,122,md,SUM,0,0,0,117,114,2,0,3,113,71,43
2020,122,wt,N,0,0,0,47,38,9,0,3,44,9,29
2020,122,wt,R,0,0,0,453,375,78,0,22,431,156,219
2020,122,wt,SUM,0,0,0,500,413,87,0,24,475,164,248
2020,123,all_deer,N,0,0,0,18,18,0,0,0,18,9,9
2020,123,all_deer,R,0,0,0,157,129,28,0,3,153,51,78
2020,123,all_deer,SUM,0,0,0,174,146,28,0,3,171,60,87
2020,123,md,N,0,0,0,3,3,0,0,0,3,0,3
2020,123,md,R,0,0,0,10,10,0,0,0,10,7,3
2020,123,md,SUM,0,0,0,13,13,0,0,0,13,7,6
2020,123,wt,N,0,0,0,15,15,0,0,0,15,9,6
2020,123,wt,R,0,0,0,147,119,28,0,3,143,44,75
2020,123,wt,SUM,0,0,0,161,133,28,0,3,158,53,80
2020,124,all_deer,N,0,0,0,6,6,0,0,0,6,0,6
2020,124,all_deer,R,0,0,0,158,136,19,3,11,147,61,75
2020,124,all_deer,SUM,0,0,0,163,142,19,3,11,153,61,80
2020,124,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,124,md,R,0,0,0,44,44,0,0,0,44,27,17
2020,124,md,SUM,0,0,0,44,44,0,0,0,44,27,17
2020,124,wt,N,0,0,0,6,6,0,0,0,6,0,6
2020,124,wt,R,0,0,0,114,92,19,3,11,103,34,58
2020,124,wt,SUM,0,0,0,119,97,19,3,11,109,34,64
2020,130,all_deer,N,0,0,0,29,29,0,0,0,29,0,29
2020,130,all_deer,R,0,0,0,562,496,65,0,10,552,180,317
2020,130,all_deer,SUM,0,0,0,591,526,65,0,10,581,180,346
2020,130,md,N,0,0,0,3,3,0,0,0,3,0,3
2020,130,md,R,0,0,0,31,27,3,0,0,31,7,20
2020,130,md,SUM,0,0,0,33,30,3,0,0,33,7,23
2020,130,wt,N,0,0,0,26,26,0,0,0,26,0,26
2020,130,wt,R,0,0,0,531,469,62,0,10,521,173,296
2020,130,wt,SUM,0,0,0,557,496,62,0,10,547,173,323
2020,140,all_deer,N,0,0,0,6,6,0,0,0,6,0,6
2020,140,all_deer,R,0,0,0,163,156,7,0,3,159,51,105
2020,140,all_deer,SUM,0,0,0,169,162,7,0,3,165,51,111
2020,140,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,140,md,R,0,0,0,10,10,0,0,0,10,3,7
2020,140,md,SUM,0,0,0,10,10,0,0,0,10,3,7
2020,140,wt,N,0,0,0,6,6,0,0,0,6,0,6
2020,140,wt,R,0,0,0,153,146,7,0,3,149,48,98
2020,140,wt,SUM,0,0,0,158,152,7,0,3,155,48,104
2020,141,all_deer,N,0,0,0,0,0,0,0,0,0,0,0
2020,141,all_deer,R,0,0,0,7,7,0,0,0,7,3,3
2020,141,all_deer,SUM,0,0,0,7,7,0,0,0,7,3,3
2020,141,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,141,wt,R,0,0,0,7,7,0,0,0,7,3,3
2020,141,wt,SUM,0,0,0,7,7,0,0,0,7,3,3
2020,150,all_deer,N,0,0,0,3,3,0,0,0,3,0,3
2020,150,all_deer,R,0,0,0,14,14,0,0,0,14,0,14
2020,150,all_deer,SUM,0,0,0,17,17,0,0,0,17,0,17
2020,150,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,150,md,R,0,0,0,7,7,0,0,0,7,0,7
2020,150,md,SUM,0,0,0,7,7,0,0,0,7,0,7
2020,150,wt,N,0,0,0,3,3,0,0,0,3,0,3
2020,150,wt,R,0,0,0,7,7,0,0,0,7,0,7
2020,150,wt,SUM,0,0,0,10,10,0,0,0,10,0,10
2020,170,all_deer,N,0,0,0,54,24,30,0,3,51,12,12
2020,170,all_deer,R,0,0,0,1430,779,638,14,173,1258,319,460
2020,170,all_deer,SUM,0,0,0,1484,803,668,14,176,1308,330,472
2020,170,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,170,md,R,0,0,0,14,14,0,0,0,14,10,3
2020,170,md,SUM,0,0,0,14,14,0,0,0,14,10,3
2020,170,wt,N,0,0,0,54,24,30,0,3,51,12,12
2020,170,wt,R,0,0,0,1417,766,638,14,173,1244,309,457
2020,170,wt,SUM,0,0,0,1471,789,668,14,176,1295,320,469
2020,1XX,all_deer,R,0,0,0,89,48,41,0,3,85,28,20
2020,1XX,all_deer,SUM,0,0,0,89,48,41,0,3,85,28,20
2020,1XX,md,R,0,0,0,11,3,7,0,0,11,3,0
2020,1XX,md,SUM,0,0,0,11,3,7,0,0,11,3,0
2020,1XX,wt,R,0,0,0,78,44,34,0,3,75,24,20
