"species","length","weight"
"N PMN",251,138
"YP",177,61
"L WF",451,963
"N PMN",235,90
"PEA",274,181
"N PMN",226,86
"BULL",605,2108
"LT",697,2823
"N PMN",308,214
"L WF",468,814
"L WF",409,619
"YP",205,89
"N PMN",153,119
"PEA",279,188
"L WF",525,1629
"N PMN",270,156
"N PMN",283,146
"L WF",437,751
"L WF",451,778
"N PMN",201,68
"L WF",431,819
"N PMN",315,219
"N PMN",242,118
"L WF",445,926
"PEA",280,212
"N PMN",260,140
"LT",791,3894
"PEA",274,152
"N PMN",296,204
"N PMN",258,134
"PEA",290,225
"L WF",500,952
"N PMN",280,157
"PEA",285,213
"L WF",483,860
"N PMN",179,49
"YP",210,94
"YP",140,27
"L WF",483,1172
"N PMN",250,122
"N PMN",255,108
"N PMN",310,234
"PEA",285,215
"PEA",187,46
"LN SU",374,471
"N PMN",340,332
"N PMN",280,127
"N PMN",290,163
"YP",195,78
"YP",173,57
"N PMN",270,152
"PEA",261,138
"N PMN",251,126
"YP",165,47
"N PMN",270,161
"N PMN",190,55
"L WF",500,1251
"N PMN",196,57
"PEA",271,159
"L WF",436,796
"YP",210,128
"N PMN",191,58
"PEA",311,245
"PEA",280,198
"PEA",263,169
"N PMN",344,263
"N PMN",263,129
"YP",146,31
"N PMN",210,68
"PEA",291,240
"YP",163,43
"L WF",470,946
"N PMN",186,53
"L WF",430,608
"N PMN",367,437
"L WF",406,526
"N PMN",311,254
"L WF",445,774
"N PMN",255,133
"YP",180,73
"PEA",283,177
"PEA",295,226
"PEA",273,168
"PEA",270,182
"PEA",275,157
"N PMN",279,168
"N PMN",205,74
"N PMN",210,74
"N PMN",210,94
"PEA",282,199
"PEA",280,220
"L WF",415,757
"L WF",471,933
"N PMN",180,47
"PEA",249,118
"N PMN",181,46
"YP",270,219
"PEA",260,141
"N PMN",326,262
"L WF",495,1304
"LT",810,4751
"N PMN",250,127
"YP",145,133
"YP",196,73
"N PMN",281,230
"N PMN",260,407
"PEA",269,149
"L WF",433,826
"N PMN",320,274
"N PMN",237,101
"N PMN",265,139
"L WF",455,970
"N PMN",392,511
"N PMN",325,262
"N PMN",165,149
"N PMN",263,144
"PEA",290,218
"N PMN",249,135
"N PMN",325,256
"L WF",435,753
"N PMN",283,168
"N PMN",185,51
"PEA",270,156
